observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,,180.0,"Caja/ 17 Kg.",13.0,"Kg,"
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,N,180.0,"Caja/ 17 Kg.",13.0,"Kg,"
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,,150.0,"Caja/ 17 Kg.",10.0,"Kg,"
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,N,150.0,"Caja/ 17 Kg.",10.0,"Kg,"
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,FRUTILLA,Santa Cruz,,Primera,,10.0,Caja/1 Kg.,12.0,"Kg,"
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,FRUTILLA,Santa Cruz,,Primera,E,11.0,Caja/1 Kg.,13.0,"Kg,"
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,FRUTILLA,Santa Cruz,,Segunda,,8.0,Caja/1 Kg.,10.0,"Kg,"
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,FRUTILLA,Santa Cruz,,Segunda,E,9.0,Caja/1 Kg.,11.0,"Kg,"
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,GUINEO,,,Grande,,50.0,Racimo,10.0,Docena
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,GUINEO,,,Grande,N,50.0,Racimo,10.0,Docena
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,GUINEO,,,Pequeño,,35.0,Racimo,5.0,Docena
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,GUINEO,,,Pequeño,N,35.0,Racimo,5.0,Docena
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,De Licuar,Primera,,18.0,100 Unidades,5.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,De Licuar,Primera,A,18.0,100 Unidades,5.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,Amarillo,Primera,,30.0,100 Unidades,8.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,Amarillo,Primera,A,38.0,100 Unidades,10.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,Amarillo,Segunda,,22.0,100 Unidades,6.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,LIMON,,Amarillo,Segunda,A,30.0,100 Unidades,8.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Criolla,Primera,,30.0,100 Unidades,8.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Criolla,Primera,N,30.0,100 Unidades,8.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Japonesa,Primera,,22.0,100 Unidades,6.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Japonesa,Primera,A,22.0,100 Unidades,6.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Incor,Primera,,30.0,100 Unidades,8.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,MANDARINA,Santa Cruz,Incor,Primera,A,30.0,100 Unidades,8.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,NARANJA,Santa Cruz,Criolla,Primera,,30.0,100 Unidades,8.0,25 Unidades
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,NARANJA,Santa Cruz,Criolla,Primera,N,26.0,100 Unidades,7.0,25 Unidades
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,NARANJA,Santa Cruz,,Primera,,30.0,Bolsa 20 Kg.,1.5,"Kg."
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,NARANJA,Santa Cruz,,Primera,N,25.0,Bolsa 20 Kg.,1.3,"Kg."
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,PAPAYA,,,Grande,,700.0,100 Unidades,8.0,Unidad
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,PAPAYA,,,Grande,A,700.0,100 Unidades,8.0,Unidad
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,PAPAYA,,,Mediana,,400.0,100 Unidades,5.0,Unidad
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,PAPAYA,,,Mediana,A,400.0,100 Unidades,5.0,Unidad
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,PIÑA,Chapare,,Grande,,700.0,100 Unidades,8.0,Unidad
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,PIÑA,Chapare,,Grande,A,700.0,100 Unidades,8.0,Unidad
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,PIÑA,Chapare,,Pequeño,,400.0,100 Unidades,5.0,Unidad
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,PIÑA,Chapare,,Pequeño,A,400.0,100 Unidades,5.0,Unidad
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,BANANO,Chapare,,Primera,,60.0,Caja/14 pengas,5.0,Docena
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,BANANO,Chapare,,Primera,N,50.0,Caja/14 pengas,5.0,Docena
2016-04-29,ibce-cao-mirror,cao-2016-05-03,Abasto,SANDIA,Santa Cruz,Hibrida,Grande,,2300.0,100 Unidades,25.0,Unidad
2016-05-03,ibce-cao-mirror,cao-2016-05-03,Abasto,SANDIA,Santa Cruz,Hibrida,Grande,N,2800.0,100 Unidades,30.0,Unidad
