observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,,38.0,100 Unidades,10.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,N,38.0,100 Unidades,10.0,25 Unidades
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,,30.0,100 Unidades,8.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,N,30.0,100 Unidades,8.0,25 Unidades
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,De partir,Primera,,150.0,Caja/ 17 Kg.,15.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,De partir,Primera,A,150.0,Caja/ 17 Kg.,15.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,,100.0,Caja/ 17 Kg.,10.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,A,80.0,Caja/ 17 Kg.,8.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,,190.0,Caja/ 17 Kg.,17.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,A,180.0,Caja/ 17 Kg.,16.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,,70.0,Caja/ 17 Kg.,8.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,A,70.0,Caja/ 17 Kg.,8.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,FRUTILLA,Santa Cruz,,Primera,,8.0,Caja/1 Kg.,10.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,FRUTILLA,Santa Cruz,,Primera,A,8.0,Caja/1 Kg.,10.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,FRUTILLA,Santa Cruz,,Segunda,,6.0,Caja/1 Kg.,8.0,"Kg,"
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,FRUTILLA,Santa Cruz,,Segunda,A,6.0,Caja/1 Kg.,8.0,"Kg,"
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,GUINEO,,,Grande,,50.0,Racimo,10.0,Docena
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,GUINEO,,,Grande,A,50.0,Racimo,10.0,Docena
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,GUINEO,,,Pequeño,,40.0,Racimo,8.0,Docena
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,GUINEO,,,Pequeño,A,40.0,Racimo,8.0,Docena
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,De Licuar,Primera,,18.0,100 Unidades,5.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,De Licuar,Primera,A,18.0,100 Unidades,5.0,25 Unidades
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,Amarillo,Primera,,58.0,100 Unidades,15.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,Amarillo,Primera,A,30.0,100 Unidades,8.0,25 Unidades
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,Amarillo,Segunda,,30.0,100 Unidades,8.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,LIMON,,Amarillo,Segunda,A,18.0,100 Unidades,5.0,25 Unidades
2015-02-04,ibce-cao-mirror,cao-2015-02-11,Abasto,NARANJA,Santa Cruz,Criolla,Primera,,46.0,100 Unidades,12.0,25 Unidades
2015-02-11,ibce-cao-mirror,cao-2015-02-11,Abasto,NARANJA,Santa Cruz,Criolla,Primera,A,46.0,100 Unidades,12.0,25 Unidades
