observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,,50.0,100 Unidades,15.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,N,50.0,100 Unidades,15.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,,40.0,100 Unidades,12.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,N,40.0,100 Unidades,12.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,De partir,Primera,,150.0,Caja/ 17 Kg.,12.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,De partir,Primera,N,150.0,Caja/ 17 Kg.,12.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,,135.0,Caja/ 17 Kg.,10.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,N,135.0,Caja/ 17 Kg.,10.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,,135.0,Caja/ 17 Kg.,10.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,N,135.0,Caja/ 17 Kg.,10.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,,110.0,Caja/ 17 Kg.,8.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,N,110.0,Caja/ 17 Kg.,8.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,FRUTILLA,Santa Cruz,,Primera,,12.0,Caja/1 Kg.,14.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,FRUTILLA,Santa Cruz,,Primera,N,12.0,Caja/1 Kg.,14.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,FRUTILLA,Santa Cruz,,Segunda,,10.0,Caja/1 Kg.,12.0,"Kg,"
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,FRUTILLA,Santa Cruz,,Segunda,N,10.0,Caja/1 Kg.,12.0,"Kg,"
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,GUINEO,,,Grande,,90.0,Racimo,12.0,Docena
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,GUINEO,,,Grande,N,90.0,Racimo,12.0,Docena
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,GUINEO,,,Pequeño,,60.0,Racimo,7.0,Docena
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,GUINEO,,,Pequeño,N,60.0,Racimo,7.0,Docena
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,GUINEO,La Paz,,Primera,,120.0,Caja 15/pengas,12.0,Docena
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,GUINEO,La Paz,,Primera,N,120.0,Caja 15/pengas,12.0,Docena
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,LIMON,,De Licuar,Primera,,25.0,100 Unidades,8.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,LIMON,,De Licuar,Primera,N,25.0,100 Unidades,8.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,LIMON,,Amarillo,Primera,,45.0,100 Unidades,13.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,LIMON,,Amarillo,Primera,N,45.0,100 Unidades,13.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,LIMON,,Amarillo,Segunda,,35.0,100 Unidades,10.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,LIMON,,Amarillo,Segunda,N,35.0,100 Unidades,10.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,NARANJA,Santa Cruz,Criolla,Primera,,45.0,100 Unidades,15.0,25 Unidades
2025-12-10,cao-siprem,cao-2025-12-10,Abasto,NARANJA,Santa Cruz,Criolla,Primera,N,45.0,100 Unidades,15.0,25 Unidades
2025-12-08,cao-siprem,cao-2025-12-10,Abasto,PALTA,Perú,,Primera,,430.0,Caja/18 Kg.,30.0,Kg.
