observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,,180.0,"Caja/ 17 Kg.",13.0,"Kg,"
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,E,180.0,"Caja/ 17 Kg.",13.0,"Kg,"
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,,150.0,"Caja/ 17 Kg.",10.0,"Kg,"
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,DURAZNO,Santa Cruz,Amarillo,Segunda,E,150.0,"Caja/ 17 Kg.",10.0,"Kg,"
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,FRUTILLA,Santa Cruz,,Primera,,14.0,Caja/1 Kg.,16.0,"Kg,"
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,FRUTILLA,Santa Cruz,,Primera,N,14.0,Caja/1 Kg.,16.0,"Kg,"
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,FRUTILLA,Santa Cruz,,Segunda,,11.0,Caja/1 Kg.,13.0,"Kg,"
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,FRUTILLA,Santa Cruz,,Segunda,N,11.0,Caja/1 Kg.,13.0,"Kg,"
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,GUINEO,,,Grande,,35.0,Racimo,6.0,Docena
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,GUINEO,,,Grande,N,35.0,Racimo,6.0,Docena
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,GUINEO,,,Pequeño,,17.0,Racimo,3.0,Docena
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,GUINEO,,,Pequeño,N,17.0,Racimo,3.0,Docena
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,De Licuar,Primera,,45.0,100 Unidades,15.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,De Licuar,Primera,N,45.0,100 Unidades,15.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,Amarillo,Primera,,50.0,100 Unidades,13.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,Amarillo,Primera,N,50.0,100 Unidades,13.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,Amarillo,Segunda,,40.0,100 Unidades,10.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,LIMON,,Amarillo,Segunda,N,40.0,100 Unidades,10.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Criolla,Primera,,20.0,100 Unidades,5.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Criolla,Primera,E,20.0,100 Unidades,5.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Japonesa,Primera,,25.0,100 Unidades,7.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Japonesa,Primera,N,25.0,100 Unidades,7.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Incor,Primera,,55.0,100 Unidades,12.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,MANDARINA,Santa Cruz,Incor,Primera,A,55.0,100 Unidades,12.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,NARANJA,Santa Cruz,Criolla,Primera,,25.0,100 Unidades,7.0,25 Unidades
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,NARANJA,Santa Cruz,Criolla,Primera,N,25.0,100 Unidades,7.0,25 Unidades
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,NARANJA,Santa Cruz,,Primera,,20.0,Bolsa 20 Kg.,1.0,Kg.
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,NARANJA,Santa Cruz,,Primera,N,20.0,Bolsa 20 Kg.,1.0,Kg.
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,PAPAYA,,,Grande,,400.0,100 Unidades,5.0,Unidad
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,PAPAYA,,,Grande,N,400.0,100 Unidades,5.0,Unidad
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,PAPAYA,,,Mediana,,200.0,100 Unidades,3.0,Unidad
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,PAPAYA,,,Mediana,N,200.0,100 Unidades,3.0,Unidad
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,PIÑA,Chapare,,Grande,,800.0,100 Unidades,9.0,Unidad
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,PIÑA,Chapare,,Grande,A,800.0,100 Unidades,9.0,Unidad
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,PIÑA,Chapare,,Pequeño,,300.0,100 Unidades,4.0,Unidad
2016-09-09,ibce-cao-mirror,cao-2016-09-09,Abasto,PIÑA,Chapare,,Pequeño,A,300.0,100 Unidades,4.0,Unidad
2016-08-31,ibce-cao-mirror,cao-2016-09-09,Abasto,BANANO,Chapare,,Primera,,70.0,Caja/14 pengas,6.0,Docena
