observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,,35.0,100 Unidades,9.0,25 Unidades
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,ACHACHAIRÚ,Santa Cruz,,Primera,N,40.0,100 Unidades,11.0,25 Unidades
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,,20.0,100 Unidades,5.0,25 Unidades
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,ACHACHAIRÚ,Santa Cruz,,Segunda,N,25.0,100 Unidades,6.0,25 Unidades
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Chile,Liso,Primera,,200.0,Caja/ 22 Kg.,15.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Chile,Liso,Primera,N,230.0,Caja/ 22 Kg.,17.0,"Kg,"
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Argentina,Amarillo,Primera,,190.0,Caja 17 Kg.,16.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Argentina,Amarillo,Primera,N,200.0,Caja 17 Kg.,17.0,"Kg,"
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Argentina,Blanco,Primera,,220.0,Caja 17 Kg.,17.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Argentina,Blanco,Primera,N,230.0,Caja 17 Kg.,18.0,"Kg,"
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,De partir,Primera,,170.0,Caja/ 17 Kg.,15.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,De partir,Primera,N,170.0,Caja/ 17 Kg.,15.0,"Kg,"
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,,130.0,Caja/ 17 Kg.,10.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,De partir,Segunda,N,130.0,Caja/ 17 Kg.,10.0,"Kg,"
2013-02-07,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,,200.0,Caja/ 17 Kg.,18.0,"Kg,"
2013-02-14,cao-siprem,cao-2013-02-14,Abasto,DURAZNO,Santa Cruz,Amarillo,Primera,N,200.0,Caja/ 17 Kg.,18.0,"Kg,"
